EventName,EventPageUrl,TextFileName,ImgUrl,SocietyUrl
DeepCon'18,https://kampusetkinlikleri.com/etkinlik/1145/deepcon-18,3346045549587782601,img/Etkinlik/Big/deepcon-18-20180917-235623.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/243/engineering-society-of-eskisehir
Bilkent MEC Açılış Partisi,https://kampusetkinlikleri.com/etkinlik/1149/bilkent-mec-acilis-partisi,-736943851447047924,img/Etkinlik/Big/bilkent-mec-acilis-partisi-20180928-151430.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/293/bilkent-mec
ESOES ONLINE!,https://kampusetkinlikleri.com/etkinlik/1150/esoes-online,8062052356234276428,img/Etkinlik/Big/esoes-online-20180930-035439.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/243/engineering-society-of-eskisehir
MUDADOSK TANIŞMA TOPLANTISI,https://kampusetkinlikleri.com/etkinlik/1138/mudadosk-tanisma-toplantisi,8674618376886709130,img/Etkinlik/Big/mudadosk-tanisma-toplantisi-20180813-221814.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/341/marmara-universitesi-dagcilik-ve-doga-sporlari-kulubu-mudadosk
Eskişehir I. Ulusal Havacılık Teknolojileri Çalıştayı,https://kampusetkinlikleri.com/etkinlik/1139/eskisehir-i.-ulusal-havacilik-teknolojileri-calistayi,4522510455140881608,img/Etkinlik/Big/eskisehir-i.-ulusal-havacilik-teknolojileri-calistayi-20180910-013757.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/243/engineering-society-of-eskisehir
Kariyer Günü'18,https://kampusetkinlikleri.com/etkinlik/1137/kariyer-gunu-18,-8328795055722471479,img/Etkinlik/Big/kariyer-gunu-18-20180518-062024.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/207/tekstil-muhendisligi-kulubu
Taş Devrinden Günümüze Yolculuk :,https://kampusetkinlikleri.com/etkinlik/1127/tas-devrinden-gunumuze-yolculuk,-8954372352985519697,img/Etkinlik/Big/tas-devrinden-gunumuze-yolculuk-nanoteknolojinin-evrimi-20180427-113901.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/337/marmara-fizik-kulubu
7. GELENEKSEL AÇIK HAVA SİNEMASI,https://kampusetkinlikleri.com/etkinlik/1136/7.-geleneksel-acik-hava-sinemasi,3619731721925268951,img/Etkinlik/Big/7.-geleneksel-acik-hava-sinemasi-20180511-092850.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/82/isletme-ve-ekonomi-kulubu
Beton Kano,https://kampusetkinlikleri.com/etkinlik/1088/beton-kano,-6310452157781787778,img/Etkinlik/Big/beton-kano-20180308-091732.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/274/muhendislige-hazirlik-kulubu
Case Speech & Entrepreneurship Vertex,https://kampusetkinlikleri.com/etkinlik/1133/case-speech-entrepreneurship-vertex,-3639130086254164976,img/Etkinlik/Big/case-speech-entrepreneurship-vertex-20180508-144808.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/139/girisim-ve-yatirim-toplulugu
